month,frequency_afternoon,upt,vrm,voms,vrh,migration,ms_single,ms_married,ms_divorced,ms_separated,ms_widowed,edu_lesshs,edu_hs,edu_incompletecoll,edu_college,edu_graduate,modet_drive,modet_carpool,modet_transit,modet_bicycle,modet_walked,modet_taxi,wfh,veh_zero,veh_one,veh_two,veh_three,veh_fourplus,snap_yes,sex_male,sex_female,age_1824,age_2534,age_3544,age_4564,age_64plus,poverty_yes,income_10,income_15,income_20,income_25,income_30,income_35,income_40,income_45,income_50,income_60,income_75,income_100,income_125,income_150,income_200,income_200plus,race_black,race_indian,race_asian,race_hawaiian,race_other,race_mixed,race_white,race_latino,OTP,served_pop,Cluster,fare,speed,frequency_peak
2,114.4848485,1.87195,171921,67,13369,0.124274756,0.399876645,0.435281545,0.088700645,0.023951164,0.052190002,0.233714618,0.301913323,0.291693053,0.116440828,0.056238177,0.784271088,0.125734734,0.012830901,0.002618629,0.009204932,0.008757384,0.056582331,0.064137244,0.284489731,0.351857108,0.183729887,0.11578603,0.435586994,0.494577223,0.505422777,0.142529627,0.193893769,0.181831008,0.308100165,0.173645431,0.153527493,0.053645422,0.037425173,0.034154237,0.039086527,0.0413158,0.044302452,0.041791943,0.037537166,0.032545034,0.076708939,0.101606203,0.1443874,0.104019833,0.070682147,0.073987697,0.066804027,0.087486692,0.008010049,0.132554416,0.004814958,0.100321766,0.121498884,0.227446458,0.317866777,0.822,782460,4,6.852058014,26.48636206,90.48102553
3,114.4848485,2.0164,194403,67,15092,0.124274756,0.399876645,0.435281545,0.088700645,0.023951164,0.052190002,0.233714618,0.301913323,0.291693053,0.116440828,0.056238177,0.784271088,0.125734734,0.012830901,0.002618629,0.009204932,0.008757384,0.056582331,0.064137244,0.284489731,0.351857108,0.183729887,0.11578603,0.435586994,0.494577223,0.505422777,0.142529627,0.193893769,0.181831008,0.308100165,0.173645431,0.153527493,0.053645422,0.037425173,0.034154237,0.039086527,0.0413158,0.044302452,0.041791943,0.037537166,0.032545034,0.076708939,0.101606203,0.1443874,0.104019833,0.070682147,0.073987697,0.066804027,0.087486692,0.008010049,0.132554416,0.004814958,0.100321766,0.121498884,0.227446458,0.317866777,0.925,782460,4,6.361193216,26.48636206,90.48102553
4,114.4848485,1.93958,176838,67,13456,0.124274756,0.399876645,0.435281545,0.088700645,0.023951164,0.052190002,0.233714618,0.301913323,0.291693053,0.116440828,0.056238177,0.784271088,0.125734734,0.012830901,0.002618629,0.009204932,0.008757384,0.056582331,0.064137244,0.284489731,0.351857108,0.183729887,0.11578603,0.435586994,0.494577223,0.505422777,0.142529627,0.193893769,0.181831008,0.308100165,0.173645431,0.153527493,0.053645422,0.037425173,0.034154237,0.039086527,0.0413158,0.044302452,0.041791943,0.037537166,0.032545034,0.076708939,0.101606203,0.1443874,0.104019833,0.070682147,0.073987697,0.066804027,0.087486692,0.008010049,0.132554416,0.004814958,0.100321766,0.121498884,0.227446458,0.317866777,0.822,782460,4,6.613137896,26.48636206,90.48102553
5,110.7741935,1.6001,137323,62,11258,0.1244718,0.402239599,0.43138684,0.089200354,0.023995279,0.053177929,0.233596542,0.300300146,0.291934217,0.11828249,0.055886605,0.775654004,0.129390355,0.012505687,0.002633076,0.009474522,0.008473612,0.061868744,0.064526601,0.284085551,0.350073045,0.181606672,0.119708131,0.433037754,0.495134084,0.504865916,0.142497554,0.193227048,0.182236654,0.306160976,0.175877768,0.150051199,0.050930329,0.034677006,0.031214183,0.037188773,0.039170142,0.040005365,0.04202941,0.033165069,0.032506645,0.072146219,0.098068622,0.149425708,0.10357378,0.078053747,0.08249811,0.075346892,0.086960763,0.008949692,0.133013876,0.005334455,0.104287073,0.128008633,0.220017314,0.313428195,0.9485,782460,4,8.016192738,26.91040213,93.83866427
12,112.4107143,1.67792,176975,64,11628,0.039990665,0.451493543,0.399852711,0.094956262,0.00894509,0.044752393,0.050490985,0.156274759,0.218158027,0.333221291,0.241854937,0.628140141,0.081426611,0.022908673,0.02730557,0.080404402,0.005629148,0.154185454,0.086081137,0.389724405,0.386641351,0.103489115,0.034063992,0.164240175,0.482160813,0.517839187,0.22440505,0.178848088,0.148439537,0.264347697,0.183959629,0.136063541,0.048540996,0.037002108,0.028828729,0.029845778,0.036447354,0.0358926,0.026202892,0.033470173,0.033729058,0.063168017,0.083749399,0.1318281,0.108824291,0.079792152,0.097988091,0.124690262,0.022966826,0.001072525,0.036447354,0.000443803,0.006083805,0.036040534,0.870557343,0.02638781,0.96,292211,4,5.95976E-06,30.9086152,89.77704812
1,114.7017544,2.30448,185594,65,12197,0.042062037,0.452091796,0.39724358,0.096801755,0.008822624,0.045040245,0.052537736,0.160489819,0.220272798,0.331394808,0.23530484,0.631103069,0.082174088,0.025163373,0.027099142,0.084325277,0.006108719,0.144026333,0.088663422,0.387915173,0.388081146,0.10234602,0.032994239,0.163962229,0.480905659,0.519094341,0.225840174,0.179055133,0.148793739,0.265703859,0.180607095,0.135853674,0.04812779,0.03863922,0.031902772,0.035231397,0.036516475,0.036087683,0.029340681,0.036419008,0.030539177,0.064545114,0.088141379,0.132394603,0.108533467,0.075951721,0.092440625,0.11518889,0.024287425,0.001160848,0.037169451,0.000543658,0.005142783,0.031912573,0.873823197,0.025960064,0.96,292211,4,4.33937E-06,30.87057157,89.77704812
2,114.7017544,2.28188,169658,65,11168,0.042062037,0.452091796,0.39724358,0.096801755,0.008822624,0.045040245,0.052537736,0.160489819,0.220272798,0.331394808,0.23530484,0.631103069,0.082174088,0.025163373,0.027099142,0.084325277,0.006108719,0.144026333,0.088663422,0.387915173,0.388081146,0.10234602,0.032994239,0.163962229,0.480905659,0.519094341,0.225840174,0.179055133,0.148793739,0.265703859,0.180607095,0.135853674,0.04812779,0.03863922,0.031902772,0.035231397,0.036516475,0.036087683,0.029340681,0.036419008,0.030539177,0.064545114,0.088141379,0.132394603,0.108533467,0.075951721,0.092440625,0.11518889,0.024287425,0.001160848,0.037169451,0.000543658,0.005142783,0.031912573,0.873823197,0.025960064,0.96,292211,4,4.38235E-06,30.87057157,89.77704812
3,126.8275862,2.49997,189314,65,12434,0.042062037,0.452091796,0.39724358,0.096801755,0.008822624,0.045040245,0.052537736,0.160489819,0.220272798,0.331394808,0.23530484,0.631103069,0.082174088,0.025163373,0.027099142,0.084325277,0.006108719,0.144026333,0.088663422,0.387915173,0.388081146,0.10234602,0.032994239,0.163962229,0.480905659,0.519094341,0.225840174,0.179055133,0.148793739,0.265703859,0.180607095,0.135853674,0.04812779,0.03863922,0.031902772,0.035231397,0.036516475,0.036087683,0.029340681,0.036419008,0.030539177,0.064545114,0.088141379,0.132394603,0.108533467,0.075951721,0.092440625,0.11518889,0.024287425,0.001160848,0.037169451,0.000543658,0.005142783,0.031912573,0.873823197,0.025960064,0.96,292211,4,4.00005E-06,30.99617271,97.74471903
4,126.8275862,2.21584,148968,64,10025,0.042062037,0.452091796,0.39724358,0.096801755,0.008822624,0.045040245,0.052537736,0.160489819,0.220272798,0.331394808,0.23530484,0.631103069,0.082174088,0.025163373,0.027099142,0.084325277,0.006108719,0.144026333,0.088663422,0.387915173,0.388081146,0.10234602,0.032994239,0.163962229,0.480905659,0.519094341,0.225840174,0.179055133,0.148793739,0.265703859,0.180607095,0.135853674,0.04812779,0.03863922,0.031902772,0.035231397,0.036516475,0.036087683,0.029340681,0.036419008,0.030539177,0.064545114,0.088141379,0.132394603,0.108533467,0.075951721,0.092440625,0.11518889,0.024287425,0.001160848,0.037169451,0.000543658,0.005142783,0.031912573,0.873823197,0.025960064,0.96,292211,4,4.51296E-06,30.99617271,97.74471903
5,126.8275862,2.18441,152324,55,10263,0.042062037,0.452091796,0.39724358,0.096801755,0.008822624,0.045040245,0.052537736,0.160489819,0.220272798,0.331394808,0.23530484,0.631103069,0.082174088,0.025163373,0.027099142,0.084325277,0.006108719,0.144026333,0.088663422,0.387915173,0.388081146,0.10234602,0.032994239,0.163962229,0.480905659,0.519094341,0.225840174,0.179055133,0.148793739,0.265703859,0.180607095,0.135853674,0.04812779,0.03863922,0.031902772,0.035231397,0.036516475,0.036087683,0.029340681,0.036419008,0.030539177,0.064545114,0.088141379,0.132394603,0.108533467,0.075951721,0.092440625,0.11518889,0.024287425,0.001160848,0.037169451,0.000543658,0.005142783,0.031912573,0.873823197,0.025960064,0.96,292211,4,4.5779E-06,30.99617271,97.74471903
